Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms)
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,903.33,,1743.67,7109.33,7109.33
mullvad.net,clear,https://mullvad.net,0.0,0.0,1.67,317.67,605.0,605.0
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,591.67,,1373.33,1373.67,1373.67
archive.ph,clear,https://archive.ph,30.67,1020.33,0.0,1782.67,2413.0,2413.0
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,1.33,493.33,1958.33,1958.33
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,6427.0,8650.67,8650.67
taz.de,clear,https://taz.de,5.33,103.33,0.0,402.67,544.33,544.33
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,2094.33,,2851.33,4060.33,4060.33
marxists.org,clear,https://marxists.org,35.67,116.67,0.0,461.0,643.33,643.33
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0.0,3871.0,,5808.67,6782.67,6782.67
wiz.biz,clear,https://wiz.biz,15.0,333.33,2.0,726.0,887.67,887.67
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0.0,2169.67,,5351.0,7236.33,7236.33
f-droid.org,clear,https://f-droid.org,19.67,102.67,0.0,362.0,396.33,396.33
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0.0,1615.0,,2087.33,2795.0,2795.0
cock.li,clear,https://cock.li,12.67,80.33,0.0,167.67,269.67,269.67
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0.0,1466.0,0.0,3693.33,5556.67,5556.67
mediapart.fr,clear,https://mediapart.fr,26.67,0.0,0.33,418.67,502.33,502.33
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0.0,2197.67,,2684.67,5588.33,5588.33
riseup.net,clear,https://riseup.net,66.0,563.33,0.0,880.33,3214.67,3214.67
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0.0,3755.67,,4339.67,12109.0,12109.0
blockstream.info,clear,https://blockstream.info,18.33,208.0,0.0,527.0,2133.0,2133.0
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0.0,4010.0,0.33,7247.67,15804.33,15804.33
svoboda.org,clear,https://svoboda.org,21.67,20.33,0.33,327.0,1233.0,1233.0
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3250.0,0.0,6763.0,13390.75,13390.75
archive.org,clear,https://archive.org,26.75,336.75,2.75,1175.25,1857.25,1857.25
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,8155.0,0.0,10454.75,25987.5,25987.5
theguardian.com,clear,https://theguardian.com,0.0,0.0,2.25,343.0,462.0,462.0
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.5,7543.75,10648.5,10648.5
brave.com,clear,https://brave.com,21.5,44.5,0.75,327.75,386.0,386.0
dw.com,clear,https://dw.com,24.0,16.75,0.0,362.25,362.5,362.5
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,1377.25,0.25,3629.75,5058.5,5058.5
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,2.5,396.75,499.0,499.0
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2390.25,0.0,4571.0,11325.0,11325.0
voanews.com,clear,https://voanews.com,29.75,36.5,0.0,426.75,1328.5,1328.5
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1656.5,0.25,3260.75,4509.5,4509.5
proton.me,clear,https://proton.me,16.25,66.5,0.25,315.75,537.75,537.75
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,0.75,7329.0,8099.25,8099.25
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.25,801.5,816.75,816.75
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,2715.25,,4896.75,11135.25,11135.25
propublica.org,clear,https://propublica.org,27.5,16.5,0.0,1013.5,2120.75,2120.75
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,1379.25,,2463.75,3544.5,3544.5
torproject.org,clear,https://torproject.org,19.75,244.75,0.0,1404.5,1966.25,1966.25
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,1931.5,,2888.75,2889.5,2889.5
archive.is,clear,https://archive.is,31.5,1049.75,0.0,1752.5,2879.5,2879.5
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2435.0,0.25,4804.0,9237.0,9237.0
rferl.org,clear,https://rferl.org,19.75,23.25,0.75,490.75,1560.0,1560.0
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,871.5,,1891.25,6932.5,6932.5
mullvad.net,clear,https://mullvad.net,0.0,0.0,1.75,321.0,579.75,579.75
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,545.0,,1301.75,1302.25,1302.25
archive.ph,clear,https://archive.ph,41.0,1018.0,0.0,1886.0,2502.0,2502.0
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,2.0,492.5,1940.0,1940.0
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,5881.5,7832.5,7832.5
taz.de,clear,https://taz.de,6.75,104.5,0.0,425.0,553.25,553.25
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,1917.75,,2700.5,3981.75,3981.75
marxists.org,clear,https://marxists.org,31.25,112.0,0.0,453.25,647.5,647.5
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0.0,3249.5,,4926.25,5861.25,5861.25
wiz.biz,clear,https://wiz.biz,25.75,331.25,1.5,733.25,895.25,895.25
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0.0,2065.75,,4929.0,6568.0,6568.0
f-droid.org,clear,https://f-droid.org,19.0,90.75,0.0,356.5,411.0,411.0
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0.0,1415.0,,1840.5,2485.75,2485.75
cock.li,clear,https://cock.li,12.25,80.5,0.0,169.25,275.75,275.75
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0.0,1395.25,0.0,3513.5,5086.25,5086.25
mediapart.fr,clear,https://mediapart.fr,29.25,0.0,0.25,419.75,508.75,508.75
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0.0,2062.5,,2519.25,5309.25,5309.25
riseup.net,clear,https://riseup.net,56.0,559.25,0.0,852.75,3165.5,3165.5
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0.0,3221.0,,3786.0,11293.5,11293.5
blockstream.info,clear,https://blockstream.info,13.75,223.0,0.25,537.0,2176.5,2176.5
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0.0,3544.0,0.25,6577.0,14077.25,14077.25
svoboda.org,clear,https://svoboda.org,24.0,20.0,1.75,327.5,1224.25,1224.25
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0.0,3125.6,0.0,6374.8,12057.4,12057.4
archive.org,clear,https://archive.org,21.4,342.6,5.8,1179.0,1935.4,1935.4
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,7022.2,0.2,9173.4,22562.4,22562.4
theguardian.com,clear,https://theguardian.com,0.0,0.0,2.4,358.6,474.8,474.8
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0.0,0.0,0.6,7285.2,10315.6,10315.6
brave.com,clear,https://brave.com,22.2,46.4,0.6,334.8,387.6,387.6
dw.com,clear,https://dw.com,19.4,16.4,0.2,364.4,364.6,364.6
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0.0,1263.4,0.4,3335.0,4649.8,4649.8
guardian.co.uk,clear,https://guardian.co.uk,0.0,0.0,3.6,396.6,495.4,495.4
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0.0,2389.0,0.0,4873.8,11328.2,11328.2
voanews.com,clear,https://voanews.com,29.0,35.0,0.0,399.2,1257.6,1257.6
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0.0,1563.0,0.2,3125.0,4268.2,4268.2
proton.me,clear,https://proton.me,16.0,61.4,0.2,317.2,519.8,519.8
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0.0,0.0,0.8,7000.2,7768.2,7768.2
amnesty.org,clear,https://amnesty.org,0.0,0.0,1.2,780.8,795.6,795.6
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0.0,2358.8,,4485.0,10697.2,10697.2
propublica.org,clear,https://propublica.org,29.0,15.8,0.0,987.8,2085.6,2085.6
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0.0,1317.0,,2885.4,4169.8,4169.8
torproject.org,clear,https://torproject.org,19.6,218.0,0.0,1327.8,1826.8,1826.8
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,1812.0,,2760.8,2761.4,2761.4
archive.is,clear,https://archive.is,31.2,1043.6,0.0,1742.8,2809.6,2809.6
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0.0,2572.6,0.2,5524.8,10607.2,10607.2
rferl.org,clear,https://rferl.org,20.0,21.4,0.6,494.2,1544.8,1544.8
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0.0,946.2,,2159.6,7025.6,7025.6
mullvad.net,clear,https://mullvad.net,0.0,0.0,1.8,315.6,551.2,551.2
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0.0,509.8,,1273.0,1273.4,1273.4
archive.ph,clear,https://archive.ph,40.2,1015.4,0.2,1848.0,2460.8,2460.8
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0.0,0.0,,4978.5,6163.5,6163.5
mempool.space,clear,https://mempool.space,0.0,0.0,2.0,486.2,1943.0,1943.0
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0.0,0.0,,6079.4,7918.6,7918.6
taz.de,clear,https://taz.de,5.4,109.2,0.0,428.2,554.0,554.0
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0.0,1787.4,,2583.8,3920.8,3920.8
marxists.org,clear,https://marxists.org,28.6,113.2,0.0,448.2,648.0,648.0
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0.0,2802.0,,4293.0,5163.6,5163.6
wiz.biz,clear,https://wiz.biz,20.8,330.2,1.4,727.2,889.4,889.4
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0.0,1831.0,,4380.4,6387.4,6387.4
f-droid.org,clear,https://f-droid.org,15.2,83.0,0.0,361.8,415.0,415.0
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0.0,1732.6,,2161.6,2802.0,2802.0
cock.li,clear,https://cock.li,12.0,79.8,0.6,168.8,277.6,277.6
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0.0,1332.0,0.0,3335.2,4693.6,4693.6
mediapart.fr,clear,https://mediapart.fr,27.8,0.0,0.2,424.0,516.0,516.0
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0.0,1995.2,,2456.4,5270.4,5270.4
riseup.net,clear,https://riseup.net,51.0,557.0,0.0,852.4,3155.2,3155.2
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0.0,2885.2,,3443.8,10762.0,10762.0
blockstream.info,clear,https://blockstream.info,14.2,227.8,0.2,542.0,2195.2,2195.2
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0.0,3277.0,0.2,6481.4,13499.8,13499.8
svoboda.org,clear,https://svoboda.org,23.8,19.0,1.4,331.2,1234.8,1234.8
